
Error results for SA
Iteration 0165: 0.074 0.074
Iteration 0166: 0.074 0.074
Iteration 0167: 0.074 0.074
Iteration 0168: 0.074 0.074
Iteration 0169: 0.074 0.074
Iteration 0170: 0.074 0.074
Iteration 0171: 0.074 0.074
Iteration 0172: 0.074 0.074
Iteration 0173: 0.074 0.074
Iteration 0174: 0.074 0.074
Iteration 0175: 0.074 0.074
Iteration 0176: 0.074 0.074
Iteration 0177: 0.074 0.074
Iteration 0178: 0.074 0.074
Iteration 0179: 0.074 0.074
Iteration 0180: 0.074 0.074
Iteration 0181: 0.074 0.074
Iteration 0182: 0.074 0.074
Iteration 0183: 0.074 0.074
Iteration 0184: 0.074 0.074
Iteration 0185: 0.074 0.074
Iteration 0186: 0.074 0.074
Iteration 0187: 0.074 0.074
Iteration 0188: 0.074 0.074
Iteration 0189: 0.074 0.074
Iteration 0190: 0.074 0.074
Iteration 0191: 0.074 0.074
Iteration 0192: 0.074 0.074
Iteration 0193: 0.074 0.074
Iteration 0194: 0.074 0.074
Iteration 0195: 0.074 0.074
Iteration 0196: 0.074 0.074
Iteration 0197: 0.074 0.074
Iteration 0198: 0.074 0.074
Iteration 0199: 0.074 0.074

Error results for SA
---------------------------
Iteration 0000: 0.198 0.197
Iteration 0001: 0.199 0.197
Iteration 0002: 0.198 0.197
Iteration 0003: 0.198 0.196
Iteration 0004: 0.198 0.196
Iteration 0005: 0.198 0.196
Iteration 0006: 0.198 0.196
Iteration 0007: 0.193 0.191
Iteration 0008: 0.193 0.192
Iteration 0009: 0.193 0.192
Iteration 0010: 0.193 0.192
Iteration 0011: 0.193 0.192
Iteration 0012: 0.192 0.191
Iteration 0013: 0.192 0.191
Iteration 0014: 0.192 0.191
Iteration 0015: 0.192 0.191
Iteration 0016: 0.192 0.191
Iteration 0017: 0.192 0.191
Iteration 0018: 0.193 0.191
Iteration 0019: 0.163 0.162
Iteration 0020: 0.163 0.162
Iteration 0021: 0.163 0.162
Iteration 0022: 0.163 0.162
Iteration 0023: 0.163 0.162
Iteration 0024: 0.163 0.162
Iteration 0025: 0.164 0.163
Iteration 0026: 0.164 0.163
Iteration 0027: 0.163 0.162
Iteration 0028: 0.163 0.162
Iteration 0029: 0.163 0.162
Iteration 0030: 0.163 0.162
Iteration 0031: 0.163 0.162
Iteration 0032: 0.163 0.162
Iteration 0033: 0.157 0.156
Iteration 0034: 0.157 0.156
Iteration 0035: 0.157 0.156
Iteration 0036: 0.157 0.156
Iteration 0037: 0.157 0.156
Iteration 0038: 0.157 0.156
Iteration 0039: 0.157 0.156
Iteration 0040: 0.157 0.156
Iteration 0041: 0.157 0.156
Iteration 0042: 0.157 0.156
Iteration 0043: 0.157 0.156
Iteration 0044: 0.157 0.156
Iteration 0045: 0.157 0.156
Iteration 0046: 0.157 0.156
Iteration 0047: 0.157 0.156
Iteration 0048: 0.160 0.159
Iteration 0049: 0.160 0.159
Iteration 0050: 0.160 0.159
Iteration 0051: 0.160 0.159
Iteration 0052: 0.160 0.159
Iteration 0053: 0.160 0.159
Iteration 0054: 0.160 0.159
Iteration 0055: 0.160 0.159
Iteration 0056: 0.160 0.159
Iteration 0057: 0.160 0.159
Iteration 0058: 0.161 0.160
Iteration 0059: 0.161 0.160
Iteration 0060: 0.161 0.160
Iteration 0061: 0.161 0.160
Iteration 0062: 0.156 0.155
Iteration 0063: 0.156 0.155
Iteration 0064: 0.157 0.156
Iteration 0065: 0.157 0.155
Iteration 0066: 0.156 0.155
Iteration 0067: 0.157 0.155
Iteration 0068: 0.157 0.155
Iteration 0069: 0.157 0.155
Iteration 0070: 0.157 0.155
Iteration 0071: 0.157 0.155
Iteration 0072: 0.157 0.155
Iteration 0073: 0.158 0.157
Iteration 0074: 0.158 0.157
Iteration 0075: 0.157 0.156
Iteration 0076: 0.157 0.156
Iteration 0077: 0.157 0.156
Iteration 0078: 0.157 0.156
Iteration 0079: 0.157 0.156
Iteration 0080: 0.157 0.156
Iteration 0081: 0.157 0.156
Iteration 0082: 0.157 0.156
Iteration 0083: 0.157 0.156
Iteration 0084: 0.157 0.156
Iteration 0085: 0.161 0.160
Iteration 0086: 0.161 0.160
Iteration 0087: 0.161 0.160
Iteration 0088: 0.161 0.160
Iteration 0089: 0.162 0.161
Iteration 0090: 0.162 0.161
Iteration 0091: 0.162 0.161
Iteration 0092: 0.162 0.161
Iteration 0093: 0.162 0.161
Iteration 0094: 0.158 0.157
Iteration 0095: 0.158 0.157
Iteration 0096: 0.160 0.158
Iteration 0097: 0.160 0.158
Iteration 0098: 0.160 0.158
Iteration 0099: 0.160 0.159
Iteration 0100: 0.160 0.159
Iteration 0101: 0.160 0.159
Iteration 0102: 0.160 0.159
Iteration 0103: 0.160 0.159
Iteration 0104: 0.160 0.159
Iteration 0105: 0.160 0.159
Iteration 0106: 0.160 0.159
Iteration 0107: 0.160 0.159
Iteration 0108: 0.161 0.159
Iteration 0109: 0.161 0.159
Iteration 0110: 0.162 0.161
Iteration 0111: 0.162 0.161
Iteration 0112: 0.162 0.161
Iteration 0113: 0.162 0.161
Iteration 0114: 0.163 0.162
Iteration 0115: 0.163 0.162
Iteration 0116: 0.163 0.162
Iteration 0117: 0.163 0.162
Iteration 0118: 0.163 0.162
Iteration 0119: 0.166 0.164
Iteration 0120: 0.163 0.162
Iteration 0121: 0.163 0.162
Iteration 0122: 0.163 0.162
Iteration 0123: 0.163 0.162
Iteration 0124: 0.163 0.162
Iteration 0125: 0.163 0.162
Iteration 0126: 0.163 0.162
